,a,b,c,č,ć,d,dž,đ,e,f,g,h,i,j,k,l,lj,m,n,nj,o,p,r,s,š,t,u,v,z,ž,space,w,x,y
a,0.0,0.025706,0.018111,0.010321,0.006037,0.103992,0.002921,0.003505,0.0,0.002921,0.045959,0.003895,0.000195,0.035054,0.089971,0.070886,0.0111,0.059981,0.107887,0.008569,0.0,0.036417,0.092113,0.032522,0.005842,0.09075,0.0,0.055696,0.042843,0.008179,0.028627,0.0,0.0,0.0
b,0.068966,0.0,0.0,0.0,0.0,0.006631,0.001326,0.0,0.068966,0.0,0.0,0.0,0.007958,0.001326,0.0,0.01061,0.0,0.025199,0.0,0.0,0.17374,0.0,0.006631,0.0,0.0,0.0,0.083554,0.0,0.022546,0.001326,0.52122,0.0,0.0,0.0
c,0.143158,0.0,0.002105,0.0,0.0,0.0,0.0,0.0,0.128421,0.0,0.0,0.0,0.288421,0.010526,0.010526,0.006316,0.002105,0.0,0.033684,0.0,0.016842,0.010526,0.08,0.002105,0.004211,0.0,0.067368,0.002105,0.0,0.0,0.191579,0.0,0.0,0.0
č,0.17027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105405,0.0,0.005405,0.0,0.118919,0.0,0.0,0.024324,0.005405,0.0,0.016216,0.0,0.116216,0.0,0.054054,0.0,0.010811,0.005405,0.097297,0.008108,0.0,0.0,0.262162,0.0,0.0,0.0
ć,0.028169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342723,0.0,0.0,0.0,0.13615,0.0,0.004695,0.0,0.0,0.0,0.0,0.0,0.103286,0.032864,0.0,0.0,0.018779,0.0,0.098592,0.0,0.0,0.0,0.234742,0.0,0.0,0.0
d,0.135645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140511,0.0,0.032238,0.0,0.041363,0.001825,0.0,0.001825,0.002433,0.001825,0.022506,0.0,0.132603,0.0,0.025547,0.0,0.0,0.0,0.04562,0.004866,0.020073,0.00365,0.38747,0.0,0.0,0.0
dž,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
đ,0.219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219512,0.0,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.0,0.04878,0.0,0.170732,0.0,0.04878,0.0,0.0,0.0,0.04878,0.0,0.0,0.0,0.219512,0.0,0.0,0.0
e,0.002715,0.013577,0.019008,0.020982,0.015552,0.035053,0.000741,0.004196,0.0,0.001481,0.005431,0.004937,0.000987,0.264873,0.02197,0.047889,0.023698,0.035547,0.090595,0.027401,0.0,0.02197,0.07998,0.091089,0.016786,0.058257,0.0,0.058504,0.013083,0.016786,0.005678,0.001234,0.0,0.0
f,0.078261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.0,0.0,0.0,0.043478,0.008696,0.0,0.008696,0.0,0.008696,0.0,0.0,0.069565,0.0,0.0,0.017391,0.0,0.0,0.0,0.0,0.0,0.0,0.46087,0.0,0.0,0.0
g,0.092166,0.0,0.001152,0.0,0.0,0.003456,0.0,0.0,0.130184,0.0,0.002304,0.0,0.047235,0.0,0.0,0.0,0.0,0.0,0.004608,0.0,0.251152,0.0,0.016129,0.0,0.0,0.0,0.064516,0.0,0.029954,0.0,0.357143,0.0,0.0,0.0
h,0.130841,0.0,0.018692,0.0,0.0,0.0,0.0,0.0,0.046729,0.0,0.0,0.009346,0.401869,0.0,0.0,0.004673,0.0,0.0,0.0,0.0,0.009346,0.0,0.014019,0.037383,0.0,0.009346,0.126168,0.0,0.0,0.0,0.191589,0.0,0.0,0.0
i,0.00048,0.055902,0.03167,0.023273,0.013196,0.041747,0.0,0.00048,0.003599,0.005038,0.005038,0.003599,0.0,0.014635,0.027111,0.096449,0.008877,0.032869,0.113484,0.009117,0.00048,0.022793,0.081094,0.018954,0.015595,0.072217,0.00024,0.082534,0.013196,0.015355,0.190979,0.0,0.0,0.0
